name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
Sunny Bungalow in the City,Roslindale,42.28261879577949,-71.13306792912681,Entire home/apt,4,1.5,2.0,3.0,250.0,0.94,Boston,1
Charming room in pet friendly apt,Roslindale,42.286240821867416,-71.13437396457161,Private room,2,1.0,1.0,1.0,65.0,0.94,Boston,0
Mexican Folk Art Haven in Boston,Roslindale,42.2924378866568,-71.13576525374667,Private room,2,1.0,1.0,1.0,65.0,0.98,Boston,0
Spacious Sunny Bedroom Suite in Historic Home,Allston-Brighton,42.28110618827366,-71.12102117350553,Private room,4,1.0,1.0,2.0,75.0,1.0,Boston,1
Come Home to Boston,Roslindale,42.28451220982457,-71.1362580468337,Private room,2,1.5,1.0,2.0,79.0,0.99,Boston,0
Private Bedroom + Great Coffee,Roslindale,42.29168980076903,-71.13189277475922,Private room,2,1.0,1.0,1.0,75.0,1.0,Boston,0
New Lrg Studio apt 15 min to Boston,Allston-Brighton,42.28138962623448,-71.13119041987277,Entire home/apt,3,1.0,1.0,2.0,100.0,0.9,Boston,1
"""Tranquility"" on ""Top of the Hill""",Roslindale,42.28194609607024,-71.14102161135577,Private room,2,2.0,1.0,1.0,75.0,0.96,Boston,0
6 miles away from downtown Boston!,Roslindale,42.28587763920193,-71.12490955692161,Private room,2,1.0,1.0,2.0,58.0,0.96,Boston,0
Perfect & Practical Boston Rental,Roslindale,42.28882028358453,-71.13951010210121,Entire home/apt,5,1.0,2.0,2.0,229.0,0.94,Boston,0
Cozy room in a well located house,Roslindale,42.28644819778879,-71.13932538848039,Private room,2,1.0,1.0,1.0,60.0,0.8,Boston,0
Room in Rozzie-Twin Bed-Full Bath,Roslindale,42.281941832424685,-71.13337190191741,Private room,1,1.0,1.0,1.0,57.0,0.94,Boston,0
"Updated, spacious living in Rozzie",Roslindale,42.29172341146307,-71.13155602161845,Entire home/apt,4,1.0,2.0,2.0,93.0,1.0,Boston,0
2 Bedroom Apartment in Boston,Roslindale,42.28764103470109,-71.12988286590424,Entire home/apt,5,1.0,2.0,3.0,150.0,0.97,Boston,0
Quiet  Beauty in Boston,Roslindale,42.286264736208935,-71.13706513072117,Entire home/apt,2,1.5,2.0,2.0,145.0,0.91,Boston,0
