name,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,city,missing_flag
"Bright, Modern Garden Unit - 1BR/1B",Lower Haight,37.76931,-122.43386,Entire home/apt,3,1,1,2,170,0.97,San Francisco,0
Creative Sanctuary,Bernal Heights,37.74511,-122.42102,Entire home/apt,5,1,2,3,235,0.98,San Francisco,0
A Friendly Room - UCSF/USF - San Francisco,Cole Valley,37.76669,-122.4525,Private room,2,4,1,1,65,0.85,San Francisco,0
Friendly Room Apt. Style -UCSF/USF - San Francisco,Cole Valley,37.76487,-122.45183,Private room,2,4,1,1,65,0.93,San Francisco,0
Historic Alamo Square Victorian,Alamo Square,37.77525,-122.43637,Entire home/apt,5,1.5,2,2,685,0.97,San Francisco,0
Lovely 2BR flat Great Location,Western Addition/NOPA,37.78471,-122.44555,Entire home/apt,6,1,2,3,255,0.91,San Francisco,0
"Mission Sunshine, with Private Bath",Mission District,37.75919,-122.42237,Private room,3,1,1,2,139,0.98,San Francisco,0
Artful Potrero Separate Floor with Garden,Potrero Hill,37.76259,-122.40543,Private room,2,1,1,1,135,0.94,San Francisco,0
Victorian Suite in Inner Mission,Mission District,37.75874,-122.41327,Entire home/apt,6,1,2,3,265,0.96,San Francisco,0
Haight Buena Vista Park Garden 3BR,Lower Haight,37.77187,-122.43859,Entire home/apt,3,1,3,3,177,0.89,San Francisco,0
Victorian House in Hayes Valley - 3BED-2BA,Hayes Valley,37.77355,-122.42436,Entire home/apt,5,2,3,3,194,0.91,San Francisco,0
Union Square Modern Loft,Union Square,37.78574,-122.40798,Entire home/apt,2,1.5,1,1,139,0.92,San Francisco,0
Sunny/Sunset view room UCSF/USF - San Francisco,Haight-Ashbury,37.77019,-122.44594,Private room,2,4,1,2,85,0.8,San Francisco,0
Sunny/Sunset view room UCSF/USF - San Francisco,Haight-Ashbury,37.76894,-122.44778,Private room,2,3,1,2,85,0.64,San Francisco,0
Perfectly located Castro,The Castro,37.76075,-122.43032,Private room,1,1,1,1,79,0.98,San Francisco,0
"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",Cole Valley,37.76203,-122.45455,Entire home/apt,3,1,2,3,166,0.95,San Francisco,0
Gallery Residence,Mission District,37.75491,-122.42246,Entire home/apt,3,1,1,2,215,0.97,San Francisco,0
Luxury 2BR suite with waterview,South Beach,37.78647,-122.39072,Entire home/apt,4,2,2,2,450,0.96,San Francisco,0
Loft-like Apt./Garden (monthly only available),Noe Valley,37.74888,-122.42982,Entire home/apt,3,1,0,1,107,0.96,San Francisco,0
